,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
4616,Captiva I Рестайлинг,949000.0,2013.0,114000.0,белый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,внедорожник,5,2.2,184,Дизель,1
4617,(ВАЗ) 1111 Ока  СеАЗ,69000.0,2002.0,67200.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,хэтчбек,3,0.8,33,Бензин,1
4618,Rover Discovery Sport I,2600000.0,2018.0,26571.0,голубой,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Land,внедорожник,5,2.0,150,Дизель,1
4620,Outback II,286000.0,2001.0,189000.0,зелёный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Subaru,универсал,5,2.5,156,Бензин,1
4621,QX60 I Рестайлинг,2700000.0,2018.0,63000.0,чёрный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Infiniti,внедорожник,5,3.5,262,Бензин,1
4622,Elantra VI (AD) Рестайлинг,1079000.0,2019.0,48335.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,седан,4,1.6,128,Бензин,1
4623,Santa Fe III Рестайлинг,1900000.0,2016.0,40065.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,2.2,200,Дизель,1
4624,Octavia II (A5) Рестайлинг,539000.0,2011.0,124000.0,синий,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,лифтбек,5,1.6,102,Бензин,1
4625,M-Класс  II (W164) 350,565000.0,2007.0,362237.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,внедорожник,5,3.5,272,Бензин,1
4626,XC90 I Рестайлинг,1549000.0,2013.0,101603.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,2.5,210,Бензин,1
4627,Forester IV Рестайлинг,1410000.0,2015.0,48229.0,синий,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Subaru,внедорожник,5,2.0,150,Бензин,1
4629,Q7 I (4L) Рестайлинг,1385000.0,2010.0,182000.0,серый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,внедорожник,5,3.0,238,Дизель,1
4630,Touareg II Рестайлинг,3050000.0,2016.0,131000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,внедорожник,5,3.0,245,Дизель,1
4631,DS3 I,445000.0,2010.0,103000.0,серый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Citroen,хэтчбек,3,1.6,120,Бензин,1
4632,Focus II Рестайлинг,390000.0,2010.0,128000.0,фиолетовый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Ford,седан,4,1.8,125,Бензин,1
4633,Almera Classic I,440000.0,2009.0,185716.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,седан,4,1.6,107,Бензин,1
4634,Sandero II Stepway,539000.0,2017.0,437000.0,чёрный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,хэтчбек,5,1.6,113,Бензин,1
4635,Murano III (Z52),2285000.0,2017.0,52305.0,белый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,3.5,249,Бензин,1
4636,Sandero I,305000.0,2011.0,115000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Renault,хэтчбек,5,1.4,75,Бензин,1
4637,Cayenne  II Рестайлинг (958) Diesel,2985000.0,2014.0,138377.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Porsche,внедорожник,5,3.0,245,Дизель,1
4638,G-Класс  III (W463) 500,14428000.0,2020.0,7174.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,4.0,422,Бензин,1
4639,Caravelle T6,1949000.0,2016.0,200323.0,чёрный,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,минивэн,5,2.0,140,Дизель,1
4640,Ranger Double Cab II Рестайлинг,695000.0,2010.0,263997.0,бежевый,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Ford,пикап двойная кабина,4,2.5,143,Дизель,1
4641,X-Trail III,1254000.0,2015.0,76746.0,белый,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,144,Бензин,1
4642,Estina I,179000.0,2010.0,132000.0,синий,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Vortex,седан,4,1.6,119,Бензин,1
4643,Teana III,1097000.0,2015.0,145925.0,чёрный,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,седан,4,2.5,173,Бензин,1
4644,"E-Класс  IV (W212, S212, C207) Рестайлинг 300",1535000.0,2015.0,241304.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mercedes-Benz,седан,4,3.5,249,Бензин,1
4645,H-1 II,1029000.0,2012.0,122000.0,серебристый,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Hyundai,минивэн,5,2.5,116,Дизель,1
4646,3 серии  VI (F3x) 316i,1197000.0,2014.0,74770.0,синий,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,седан,4,1.6,136,Бензин,1
4647,Sorento III Prime Рестайлинг,3195000.0,2019.0,18410.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,внедорожник,5,2.2,200,Дизель,1
4648,X5  III (F15) 25d,3499000.0,2017.0,49383.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,3.0,218,Дизель,1
4649,Yeti I Рестайлинг,859000.0,2014.0,102000.0,пурпурный,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Skoda,внедорожник,5,1.8,152,Бензин,1
4650,Cayenne  II Рестайлинг (958) Diesel,3080000.0,2015.0,90850.0,зелёный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Porsche,внедорожник,5,3.0,245,Дизель,1
4651,Santa Fe IV,2530000.0,2018.0,75420.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,2.2,200,Дизель,1
4652,C4 I Рестайлинг,365000.0,2010.0,95110.0,синий,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Citroen,хэтчбек,5,1.6,120,Бензин,1
4653,SpaceTourer I,2450000.0,2019.0,29192.0,белый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Citroen,минивэн,5,2.0,150,Дизель,1
4654,X3  II (F25) Рестайлинг 20i xDrive,1715000.0,2014.0,132000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,BMW,внедорожник,5,2.0,184,Бензин,1
4655,Sandero I,299000.0,2010.0,101468.0,бежевый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Renault,хэтчбек,5,1.6,84,Бензин,1
4656,Fabia I,139000.0,2001.0,234389.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Skoda,универсал,5,1.4,68,Бензин,1
4657,A-Класс  III (W176) Рестайлинг 180,1345000.0,2016.0,54839.0,белый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,хэтчбек,5,1.6,122,Бензин,1
4658,Lancer IX Рестайлинг,340000.0,2007.0,202668.0,красный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mitsubishi,седан,4,2.0,135,Бензин,1
4659,Q8  I 55 TFSI,6349000.0,2019.0,26930.0,синий,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,внедорожник,5,3.0,340,Бензин,1
4660,Cayenne  II (958) GTS,2286000.0,2013.0,110032.0,красный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Porsche,внедорожник,5,4.8,420,Бензин,1
4661,X-Trail I,539000.0,2006.0,185000.0,серый,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,140,Бензин,1
4662,C-Класс  III (W204) Рестайлинг 180,999000.0,2013.0,96000.0,чёрный,автоматическая,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mercedes-Benz,седан,4,1.6,156,Бензин,1
4663,Espace IV Grand,498000.0,2005.0,325960.0,серый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Renault,минивэн,5,2.2,150,Дизель,1
4664,Amarok Double Cab I,1249000.0,2011.0,229442.0,серый,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volkswagen,пикап двойная кабина,4,2.0,163,Дизель,1
4665,C4 I Рестайлинг,298000.0,2008.0,191000.0,синий,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Citroen,хэтчбек,3,1.6,120,Бензин,1
4666,Santa Fe III,1195000.0,2012.0,134503.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,2.4,175,Бензин,1
4667,Caravelle SWB T5 Рестайлинг,1340000.0,2013.0,158773.0,серый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,минивэн,5,2.0,102,Дизель,1
4668,Cruze I Рестайлинг,499000.0,2014.0,111000.0,коричневый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,1.6,109,Бензин,1
4670,CR-V IV,1447000.0,2013.0,80827.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Honda,внедорожник,5,2.0,150,Бензин,1
4671,Fluence I,539000.0,2012.0,48000.0,бежевый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,седан,4,1.6,106,Бензин,1
4672,Kyron  I Рестайлинг 5-speed,679000.0,2014.0,110000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,SsangYong,внедорожник,5,2.0,141,Дизель,1
4673,(ВАЗ) 2121 (4x4) I,73000.0,1991.0,29356.0,белый,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,внедорожник,3,1.6,75,Бензин,1
4674,Cerato  II 6-speed,545000.0,2011.0,158220.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,седан,4,1.6,126,Бензин,1
4675,XC90 I Рестайлинг,850000.0,2007.0,259000.0,серый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volvo,внедорожник,5,3.2,238,Бензин,1
4676,Outlander III Рестайлинг 3,1760000.0,2018.0,15678.0,серебристый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.0,146,Бензин,1
4677,C4 II,439000.0,2011.0,116000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Citroen,хэтчбек,5,1.6,120,Бензин,1
4678,EX  I (J50) EX25,1240000.0,2013.0,98000.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Infiniti,внедорожник,5,2.5,222,Бензин,1
4679,Rapid I Рестайлинг,975000.0,2017.0,30547.0,белый,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,лифтбек,5,1.4,125,Бензин,1
4680,RAV4 IV (CA40) Рестайлинг,1659000.0,2016.0,85400.0,чёрный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Toyota,внедорожник,5,2.0,146,Бензин,1
4681,Qashqai II,935000.0,2014.0,124071.0,красный,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,144,Бензин,1
4682,L200 IV,745000.0,2008.0,105000.0,серебристый,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mitsubishi,пикап двойная кабина,4,2.5,136,Дизель,1
4683,Koleos I Рестайлинг 2,888000.0,2013.0,111736.0,чёрный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,2.5,171,Бензин,1
4684,"E-Класс  V (W213, S213, C238) 400",3597000.0,2017.0,34045.0,белый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,купе,2,3.0,333,Бензин,1
4685,X7  I (G07) 30d,6777000.0,2019.0,37777.0,серый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,3.0,249,Дизель,1
4686,Cruze I Рестайлинг,589000.0,2013.0,110000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,хэтчбек,5,1.8,141,Бензин,1
4687,Qashqai II Рестайлинг,1718000.0,2020.0,17163.0,синий,вариатор,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Nissan,внедорожник,5,2.0,144,Бензин,1
4688,Octavia II (A5) Рестайлинг,422000.0,2012.0,255877.0,чёрный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,лифтбек,5,1.4,122,Бензин,1
4689,Land Cruiser 100 Series,700000.0,1998.0,400000.0,синий,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,внедорожник,5,4.7,235,Бензин,1
4690,5 серии  VI (F10/F11/F07) Рестайлинг 520d,1570000.0,2014.0,82000.0,синий,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,седан,4,2.0,190,Дизель,1
4691,Fluence I Рестайлинг,690000.0,2016.0,69900.0,коричневый,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,седан,4,1.6,114,Бензин,1
4692,GLE  I (W166) 350 d,4498000.0,2018.0,49879.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,3.0,249,Дизель,1
4693,3 серии  VII (G2x) 320d xDrive,2800000.0,2019.0,39800.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,седан,4,2.0,190,Дизель,1
4694,Prius I (XW10),149000.0,2000.0,100000.0,серебристый,автоматическая,передний,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Toyota,седан,4,1.5,58,Гибрид,1
4695,G  IV G37,829000.0,2008.0,278036.0,серый,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Infiniti,купе,2,3.7,333,Бензин,1
4696,Almera III (G15),415000.0,2014.0,110000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Nissan,седан,4,1.6,102,Бензин,1
4697,Soul I Рестайлинг,719000.0,2012.0,101540.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,128,Дизель,1
4698,C-Класс  IV (W205) 200,2039000.0,2016.0,48700.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,седан,4,2.0,184,Бензин,1
4699,Prius I (XW10),149000.0,2000.0,100000.0,серебристый,автоматическая,передний,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Toyota,седан,4,1.5,58,Гибрид,1
4700,Soul I Рестайлинг,719000.0,2012.0,101540.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,128,Дизель,1
4701,G  IV G37,829000.0,2008.0,278036.0,серый,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Infiniti,купе,2,3.7,333,Бензин,1
4702,Wall Hover H6,590000.0,2014.0,236143.0,чёрный,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Great,внедорожник,5,1.5,143,Бензин,1
4703,C-Класс  IV (W205) 200,2039000.0,2016.0,48700.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,седан,4,2.0,184,Бензин,1
4704,Passat B8,1022000.0,2015.0,130000.0,серебристый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.4,150,Бензин,1
4705,RAV4 IV (CA40) Рестайлинг,1870000.0,2018.0,22327.0,красный,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Toyota,внедорожник,5,2.0,146,Бензин,1
4706,(ВАЗ) 2111,47000.0,2001.0,300875.0,серебристый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,универсал,5,1.5,72,Бензин,1
4707,"S-Класс  VI (W222, C217) 500",2819000.0,2013.0,112731.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,седан,4,4.7,455,Бензин,1
4708,Kodiaq I,2139000.0,2017.0,66000.0,коричневый,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Skoda,внедорожник,5,2.0,150,Дизель,1
4709,(ВАЗ) Vesta I SW,850000.0,2020.0,12200.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,универсал,5,1.6,106,Бензин,1
4710,Creta I,1029000.0,2018.0,97653.0,синий,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,1.6,123,Бензин,1
4711,6 II (GH),595000.0,2008.0,127000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,седан,4,2.0,147,Бензин,1
4713,Rover Range Rover III Рестайлинг 2,1349000.0,2010.0,114000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Land,внедорожник,5,3.6,272,Дизель,1
4714,Kaptur I,755000.0,2018.0,62656.0,белый,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,1.6,114,Бензин,1
4715,Sonata  IV (EF) Рестайлинг ТагАЗ,309000.0,2006.0,133000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,2.0,137,Бензин,1
4716,Leon II Рестайлинг,640000.0,2012.0,156607.0,серый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,SEAT,хэтчбек,5,1.8,160,Бензин,1
4717,Tiguan I Рестайлинг,755000.0,2013.0,111809.0,белый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,внедорожник,5,1.4,150,Бензин,1
4718,Focus II,305000.0,2007.0,149000.0,голубой,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Ford,хэтчбек,5,1.6,100,Бензин,1
4719,"S-Класс  VI (W222, C217) 500",3079000.0,2015.0,169773.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mercedes-Benz,седан,4,4.7,455,Бензин,1
4720,Lacetti,389000.0,2008.0,137000.0,синий,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,универсал,5,1.6,109,Бензин,1
4721,Murano I (Z50),465000.0,2006.0,180358.0,красный,вариатор,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Nissan,внедорожник,5,3.5,234,Бензин,1
4722,"E-Класс  V (W213, S213, C238) 200",2034000.0,2016.0,98140.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,седан,4,2.0,184,Бензин,1
4723,Mondeo III,207000.0,2001.0,173000.0,синий,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Ford,седан,4,1.8,125,Бензин,1
4724,Kuga I,739000.0,2011.0,125000.0,белый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Ford,внедорожник,5,2.0,164,Дизель,1
4725,X5  II (E70) 3.0si,890000.0,2007.0,236000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,3.0,264,Бензин,1
4726,B-Класс  II (W246) Рестайлинг 180,950000.0,2015.0,127000.0,фиолетовый,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mercedes-Benz,хэтчбек,5,1.6,122,Бензин,1
4727,Rover Discovery IV,1429000.0,2011.0,131030.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Land,внедорожник,5,2.7,190,Дизель,1
4728,Arkana I,1265000.0,2019.0,33250.0,чёрный,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,1.6,114,Бензин,1
4729,X4  I (F26) 20i,2095000.0,2015.0,25000.0,белый,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,BMW,внедорожник,5,2.0,184,Бензин,1
4730,Sandero I,304000.0,2010.0,142118.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,хэтчбек,5,1.4,75,Бензин,1
4731,3 I (BK),284000.0,2005.0,179263.0,красный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,седан,4,1.6,105,Бензин,1
4732,Soul II,915000.0,2016.0,54000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,132,Бензин,1
4733,LS Long IV Рестайлинг 2 600h L,1896000.0,2013.0,250886.0,чёрный,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Lexus,седан,4,5.0,394,Гибрид,1
4734,GLE  II (V167) 300 d,6250000.0,2020.0,22.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,2.0,245,Дизель,1
4735,LS  IV Рестайлинг 2 460,1797000.0,2015.0,183483.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Lexus,седан,4,4.6,370,Бензин,1
4736,Passat CC I,619000.0,2011.0,90000.0,белый,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Volkswagen,седан,4,1.8,152,Бензин,1
4737,Q5  I (8R) clean diesel,1050000.0,2012.0,125764.0,чёрный,роботизированная,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Audi,внедорожник,5,2.0,170,Дизель,1
4738,Ceed I,435000.0,2008.0,142625.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,122,Бензин,1
4739,Passat B7,699000.0,2012.0,103000.0,серебристый,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Volkswagen,седан,4,1.8,152,Бензин,1
4740,Camry VII (XV50) Рестайлинг,1585000.0,2015.0,73086.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Toyota,седан,4,3.5,249,Бензин,1
4741,Alphard III,3705000.0,2017.0,87000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Toyota,минивэн,5,3.5,275,Бензин,1
4742,Escalade III,1350000.0,2011.0,199000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Cadillac,внедорожник,5,6.2,409,Бензин,1
4743,Solaris I,439000.0,2011.0,130000.0,голубой,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Hyundai,седан,4,1.6,123,Бензин,1
4744,X7  I (G07) 40i,7150000.0,2020.0,3300.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,3.0,340,Бензин,1
4745,E-Pace I,3390000.0,2019.0,19889.0,красный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Jaguar,внедорожник,5,2.0,200,Бензин,1
4746,Compass I,499000.0,2006.0,124976.0,серебристый,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Jeep,внедорожник,5,2.4,170,Бензин,1
4747,6 III (GJ),1039999.0,2014.0,104000.0,серебристый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mazda,седан,4,2.5,192,Бензин,1
4748,Vito L1 III (W447) 119 BlueTEC L1,2300000.0,2016.0,196500.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mercedes-Benz,минивэн,5,2.1,190,Дизель,1
4749,Soul I,659000.0,2011.0,102000.0,бежевый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,124,Бензин,1
4750,ix35 I,754000.0,2010.0,154875.0,серебристый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,2.0,150,Бензин,1
4751,Captiva I Рестайлинг 2,1320000.0,2014.0,48736.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Chevrolet,внедорожник,5,2.4,167,Бензин,1
4752,LS  IV Рестайлинг 2 460,1797000.0,2015.0,183483.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Lexus,седан,4,4.6,370,Бензин,1
4754,Outlander III,1010000.0,2013.0,61000.0,чёрный,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,внедорожник,5,2.0,146,Бензин,1
4756,QX70,2568000.0,2016.0,57891.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Infiniti,внедорожник,5,3.0,238,Дизель,1
4757,RX  IV Рестайлинг 350,5100000.0,2020.0,3200.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Lexus,внедорожник,5,3.5,300,Бензин,1
4758,Macan  I S,2735000.0,2015.0,81936.0,коричневый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Porsche,внедорожник,5,3.0,340,Бензин,1
4759,Q3 I (8U),1099000.0,2012.0,98000.0,оранжевый,роботизированная,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Audi,внедорожник,5,2.0,211,Бензин,1
4760,6 III (GJ) Рестайлинг 2,2350000.0,2018.0,1951.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Mazda,седан,4,2.5,231,Бензин,1
