,name,price,release,mileage,color,transmission,drive,wheel,condition,owner,pts,customs,brand,body,number_of_door,engine_displacement,engine_power,fuel_type,sample
33,Camry VII (XV50) Рестайлинг,1450000.0,2017.0,57500.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,2.0,150,Бензин,1
34,(ВАЗ) 2121 (4x4) I,55000.0,1990.0,170000.0,красный,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,внедорожник,3,1.6,75,Бензин,1
35,C-Класс  II (W203) 240,425000.0,2004.0,300700.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,2.6,170,Бензин,1
36,CX-5 I,1430000.0,2014.0,82000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.0,150,Бензин,1
37,Logan II,559900.0,2015.0,75000.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Renault,седан,4,1.6,102,Бензин,1
38,GLS  I (X166) 350 d,4850000.0,2018.0,69000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,3.0,249,Дизель,1
39,Galaxy I,235000.0,1998.0,256000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Ford,минивэн,5,2.3,145,Бензин,1
40,GLK-Класс  I (X204) Рестайлинг 250,1610000.0,2015.0,110000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mercedes-Benz,внедорожник,5,2.0,211,Бензин,1
41,Tahoe IV,3385000.0,2016.0,37000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Chevrolet,внедорожник,5,6.2,409,Бензин,1
42,Arkana I,1400000.0,2019.0,33000.0,белый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Renault,внедорожник,5,1.3,150,Бензин,1
43,XC90 I Рестайлинг,1449000.0,2013.0,122200.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,2.4,200,Дизель,1
44,(ВАЗ) XRAY I,650000.0,2018.0,20000.0,красный,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,хэтчбек,5,1.6,106,Бензин,1
45,Q7 II (4M),2900000.0,2015.0,185000.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Audi,внедорожник,5,3.0,249,Дизель,1
46,Epica I Рестайлинг,260000.0,2010.0,100000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,2.0,143,Бензин,1
47,Rio  III 5-speed,500000.0,2014.0,92000.0,чёрный,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Kia,седан,4,1.6,123,Бензин,1
48,Lancer X Рестайлинг,584000.0,2014.0,128000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mitsubishi,седан,4,1.6,117,Бензин,1
49,Gentra II,220000.0,2014.0,199200.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Daewoo,седан,4,1.5,107,Бензин,1
50,Passat B6,529900.0,2010.0,172000.0,серый,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Volkswagen,седан,4,1.8,152,Бензин,1
51,Sonata V (NF),419000.0,2007.0,166000.0,фиолетовый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,2.0,144,Бензин,1
53,Lacetti,200000.0,2005.0,280000.0,белый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Chevrolet,седан,4,1.4,94,Бензин,1
54,(ВАЗ) Granta I,335000.0,2017.0,32000.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,87,Бензин,1
55,6 III (GJ),1030000.0,2013.0,70000.0,белый,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,седан,4,2.0,150,Бензин,1
56,Land Cruiser Prado 150 Series,1600000.0,2010.0,151722.0,белый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Toyota,внедорожник,5,3.0,173,Дизель,1
57,Camry VII (XV50),1150000.0,2014.0,117000.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,2.5,181,Бензин,1
58,Mokka I,709000.0,2013.0,108000.0,белый,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Opel,внедорожник,5,1.4,140,Бензин,1
59,Creta I,1037000.0,2018.0,29154.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Hyundai,внедорожник,5,1.6,123,Бензин,1
60,3151  315122,170000.0,1999.0,69000.0,жёлтый,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,УАЗ,внедорожник открытый,No_inf,2.5,74,Бензин,1
61,3 III (BM),730000.0,2014.0,97374.0,белый,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Mazda,седан,4,1.6,104,Бензин,1
62,X70 I,819900.0,2018.0,80000.0,белый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Lifan,внедорожник,5,2.0,136,Бензин,1
63,Sonata  IV (EF) Рестайлинг ТагАЗ,255000.0,2007.0,235000.0,чёрный,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Hyundai,седан,4,2.0,137,Бензин,1
64,(ВАЗ) Kalina II Cross,550000.0,2017.0,55000.0,серый,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,LADA,универсал,5,1.6,106,Бензин,1
65,(ВАЗ) Vesta I,736900.0,2020.0,10000.0,коричневый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,LADA,седан,4,1.6,106,Бензин,1
66,(ВАЗ) 2115,65000.0,2006.0,160000.0,серый,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,седан,4,1.6,81,Бензин,1
67,3 II (BL),715000.0,2010.0,120600.0,голубой,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,хэтчбек,5,1.6,105,Бензин,1
68,XC90 I Рестайлинг,749856.0,2008.0,380000.0,коричневый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Volvo,внедорожник,5,3.2,238,Бензин,1
69,HR-V II Рестайлинг,1690000.0,2019.0,6000.0,белый,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Honda,внедорожник,5,1.8,141,Бензин,1
70,CX-5 II,2350000.0,2018.0,39800.0,белый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.5,194,Бензин,1
71,Camry VII (XV50) Рестайлинг,1450000.0,2017.0,57500.0,чёрный,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Toyota,седан,4,2.0,150,Бензин,1
72,(ВАЗ) 2121 (4x4) I,55000.0,1990.0,170000.0,красный,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,LADA,внедорожник,3,1.6,75,Бензин,1
73,C-Класс  II (W203) 240,425000.0,2004.0,300700.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,2.6,170,Бензин,1
74,CX-5 I,1430000.0,2014.0,82000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.0,150,Бензин,1
75,Logan II,559900.0,2015.0,75000.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Renault,седан,4,1.6,102,Бензин,1
76,C-Класс  II (W203) 240,425000.0,2004.0,300700.0,серый,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,Mercedes-Benz,седан,4,2.6,170,Бензин,1
77,CX-5 I,1430000.0,2014.0,82000.0,серый,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Mazda,внедорожник,5,2.0,150,Бензин,1
78,Logan II,559900.0,2015.0,75000.0,серый,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Renault,седан,4,1.6,102,Бензин,1
79,Pathfinder IV,2070000.0,2015.0,38111.0,белый,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Nissan,внедорожник,5,3.5,249,Бензин,1
80,X4  II (G02) 20d,3760000.0,2019.0,13000.0,чёрный,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,BMW,внедорожник,5,2.0,190,Дизель,1
81,Rio IV X-Line,899870.0,2018.0,40704.0,серый,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Kia,хэтчбек,5,1.6,123,Бензин,1
