,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,VIN,Госномер,Владение,Обмен,Кузов №,Гарантия,Запас хода
0,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1102250724-7aa7e58b/,175 000 ₽,2008,189 000 км,хэтчбек 5 дв.,зелёный,1.6 л / 98 л.с. / Бензин,1 372 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,XTA**************,******|164,,,,,
1,Mazda 6 III (GJ) Рестайлинг,https://auto.ru/cars/used/sale/mazda/6/1102101208-585895a3/,1 349 000 ₽,2015,92 000 км,седан,чёрный,2.5 л / 192 л.с. / Бензин,9 600 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,RUM**************,******|64,5 лет и 3 месяца,Рассмотрю варианты,,,
2,BMW X6  I (E71) 30d,https://auto.ru/cars/used/sale/bmw/x6/1101882212-703d4a57/,1 850 000 ₽,2011,170 000 км,внедорожник 5 дв.,чёрный,3.0 л / 245 л.с. / Дизель,18 375 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X4X**************,******|64,,,,,
3,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1101959102-decf3c9c/,664 000 ₽,2012,85 000 км,внедорожник 5 дв.,серебристый,2.0 л / 135 л.с. / Бензин,4 050 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X7L**************,******|164,5 лет и 8 месяцев,,,,
4,Renault Arkana I,https://auto.ru/cars/used/sale/renault/arkana/1102251278-754b9cf2/,1 099 000 ₽,2019,52 000 км,внедорожник 5 дв.,белый,1.6 л / 114 л.с. / Бензин,3 648 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,,,Рассмотрю варианты,,,
5,Great Wall Hover H3 I,https://auto.ru/cars/used/sale/great_wall/hoverh3/1102264535-a97eca62/,500 000 ₽,2011,91 725 км,внедорожник 5 дв.,чёрный,2.0 л / 122 л.с. / Бензин,3 660 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8P**************,,,Рассмотрю варианты,,,
6,Kia Cerato III,https://auto.ru/cars/used/sale/kia/cerato/1102264002-9ed562db/,719 000 ₽,2014,81 000 км,седан,белый,1.6 л / 130 л.с. / Бензин,3 900 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
7,Kia Sportage III,https://auto.ru/cars/used/sale/kia/sportage/1102270506-0b11f81b/,680 000 ₽,2011,196 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 500 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
8,Renault Kaptur I,https://auto.ru/cars/used/sale/renault/kaptur/1101496121-dd44b4ab/,1 090 000 ₽,2017,67 000 км,внедорожник 5 дв.,белый,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,******|58,2 года и 6 месяцев,,,,
9,Land Rover Discovery Sport I Рестайлинг,https://auto.ru/cars/used/sale/land_rover/discovery_sport/1102267061-fe44751b/,2 700 000 ₽,2019,31 791 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Дизель,4 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,SAL**************,,,Рассмотрю варианты,,,
10,Hyundai Solaris I,https://auto.ru/cars/used/sale/hyundai/solaris/1102272310-ff627135/,460 000 ₽,2012,101 000 км,хэтчбек 5 дв.,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Z94**************,,,,,,
11,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1102208707-f7ce2638/,165 000 ₽,2008,200 000 км,седан,фиолетовый,1.6 л / 81 л.с. / Бензин,1 134 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,******|64,1 год и 11 месяцев,,,,
12,Porsche Cayenne  II Рестайлинг (958) Diesel,https://auto.ru/cars/used/sale/porsche/cayenne/1096106150-90fca81e/,No_info,,,,,,,,,,,,,,,,,,,,
13,Skoda Octavia III (A7),https://auto.ru/cars/used/sale/skoda/octavia/1102202413-e51fbd88/,680 000 ₽,2014,210 000 км,лифтбек,красный,1.6 л / 110 л.с. / Бензин,3 300 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XW8**************,******|164,1 месяц,,,,
14,Chevrolet Cruze I,https://auto.ru/cars/used/sale/chevrolet/cruze/1102267546-12ff68be/,490 002 ₽,2012,123 000 км,седан,белый,1.6 л / 109 л.с. / Бензин,3 270 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XUF**************,,,,,,
15,Hyundai Solaris I Рестайлинг,https://auto.ru/cars/used/sale/hyundai/solaris/1102267118-11f97041/,790 000 ₽,2017,25 000 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z94**************,,,,,,
16,LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1102272308-7a89072d/,730 000 ₽,2019,9 500 км,хэтчбек 5 дв.,белый,1.6 л / 106 л.с. / Бензин,3 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTA**************,,,,,,
17,ГАЗ 31105 «Волга»,https://auto.ru/cars/used/sale/gaz/31105/1102250220-8a448075/,150 000 ₽,2005,87 000 км,седан,серебристый,2.3 л / 131 л.с. / Бензин,3 930 ₽ / год,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X96**************,,15 лет и 7 месяцев,Рассмотрю варианты,,,
18,Volkswagen Polo V Рестайлинг,https://auto.ru/cars/used/sale/volkswagen/polo/1102264269-a6f08ef0/,1 185 000 ₽,2020,3 000 км,седан,серый,1.6 л / 110 л.с. / Бензин,3 520 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
19,Volkswagen Polo V,https://auto.ru/cars/used/sale/volkswagen/polo/1102272307-0e4b029e/,690 000 ₽,2015,89 600 км,седан,бежевый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
20,LADA (ВАЗ) Priora I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2170/1102256374-fd5f3161/,409 000 ₽,2016,42 000 км,седан,белый,1.6 л / 87 л.с. / Бензин,1 218 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTA**************,,,Рассмотрю варианты,,,
21,Skoda Rapid I,https://auto.ru/cars/used/sale/skoda/rapid/1102258784-d0d7d285/,579 000 ₽,2015,136 135 км,лифтбек,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XW8**************,,,Рассмотрю варианты,,,
22,Lifan X50,https://auto.ru/cars/used/sale/lifan/x50/1102272309-8fae19e1/,540 000 ₽,2017,108 600 км,внедорожник 5 дв.,серебристый,1.5 л / 103 л.с. / Бензин,3 090 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X9W**************,,,,,,
23,Mercedes-Benz M-Класс  III (W166) 350 CDI,https://auto.ru/cars/used/sale/mercedes/m_klasse/1102258783-a70ac835/,2 997 000 ₽,2015,78 410 км,внедорожник 5 дв.,белый,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WDC**************,,,Рассмотрю варианты,,,
24,Ford Focus III,https://auto.ru/cars/used/sale/ford/focus/1102265689-f7e7c686/,545 000 ₽,2012,97 195 км,хэтчбек 5 дв.,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X9F**************,,,Рассмотрю варианты,,,
25,Daewoo Nexia I Рестайлинг,https://auto.ru/cars/used/sale/daewoo/nexia/1102249213-e06d4d90/,79 000 ₽,2010,185 000 км,седан,белый,1.5 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,XWB**************,,,Рассмотрю варианты,,,
26,Chevrolet Niva I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/niva/1102264849-435c0cb8/,389 000 ₽,2012,106 000 км,внедорожник 5 дв.,серый,1.7 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9L**************,,8 лет и 1 месяц,,,,
27,Mitsubishi Outlander III Рестайлинг 2,https://auto.ru/cars/used/sale/mitsubishi/outlander/1102166347-24c503ca/,1 750 000 ₽,2017,24 000 км,внедорожник 5 дв.,белый,2.0 л / 146 л.с. / Бензин,4 380 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8T**************,,,,,,
28,Ford Focus I,https://auto.ru/cars/used/sale/ford/focus/1102263318-abf4808f/,149 000 ₽,1999,140 000 км,хэтчбек 5 дв.,синий,1.8 л / 115 л.с. / Бензин,3 450 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,WF0**************,,,Рассмотрю варианты,,,
29,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1102261775-1f9d07fa/,698 500 ₽,2018,77 735 км,седан,белый,1.6 л / 106 л.с. / Бензин,3 180 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,,,Рассмотрю варианты,,,
30,Ford Fusion I Рестайлинг,https://auto.ru/cars/used/sale/ford/fusion/1102256876-84d78b2a/,309 000 ₽,2008,140 000 км,хэтчбек 5 дв.,серый,1.4 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WF0**************,,,Рассмотрю варианты,,,
31,Volkswagen Tiguan II,https://auto.ru/cars/used/sale/volkswagen/tiguan/1102261523-74d36fb7/,1 950 000 ₽,2017,32 201 км,внедорожник 5 дв.,белый,1.4 л / 150 л.с. / Бензин,4 500 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,Рассмотрю варианты,,,
32,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1102249326-f7078dd6/,320 000 ₽,2014,51 000 км,внедорожник 3 дв.,зелёный,1.7 л / 83 л.с. / Бензин,1 162 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,,6 лет и 1 месяц,,,,
33,Chevrolet Epica I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/epica/1102251627-6f16c942/,479 000 ₽,2011,111 000 км,седан,чёрный,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XUU**************,,,Рассмотрю варианты,,,
34,Toyota RAV4 IV (CA40) Рестайлинг,https://auto.ru/cars/used/sale/toyota/rav_4/1101818278-2027ab84/,1 950 000 ₽,2018,16 000 км,внедорожник 5 дв.,красный,2.0 л / 146 л.с. / Бензин,4 380 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW7**************,,2 года и 4 месяца,,,,
35,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1102256906-54ea60e5/,820 001 ₽,2015,145 000 км,внедорожник 5 дв.,чёрный,1.5 л / 90 л.с. / Дизель,1 260 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X7L**************,,,,,,
36,Ford Focus II Рестайлинг,https://auto.ru/cars/used/sale/ford/focus/1102256118-76a2b45b/,485 002 ₽,2011,156 000 км,хэтчбек 5 дв.,серый,1.6 л / 100 л.с. / Бензин,1 400 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9F**************,,,,,,
37,Volkswagen Polo V,https://auto.ru/cars/used/sale/volkswagen/polo/1102257153-72ce4dca/,585 001 ₽,2013,117 000 км,седан,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
38,Mazda 6 III (GJ) Рестайлинг,https://auto.ru/cars/used/sale/mazda/6/1102101208-585895a3/,1 349 000 ₽,2015,92 000 км,седан,чёрный,2.5 л / 192 л.с. / Бензин,9 600 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,RUM**************,******|64,5 лет и 3 месяца,Рассмотрю варианты,,,
39,ГАЗ 3102 «Волга»,https://auto.ru/cars/used/sale/gaz/3102/1102260458-67963a4b/,1 000 000 ₽,1997,13 000 км,седан,чёрный,2.0 л / 136 л.с. / Бензин,4 080 ₽ / год,механическая,задний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,XTH**************,******|64,,,,,
40,Toyota Camry VIII (XV70),https://auto.ru/cars/used/sale/toyota/camry/1100473528-0b36085a/,1 700 000 ₽,2019,38 000 км,седан,белый,2.0 л / 150 л.с. / Бензин,4 800 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW7**************,******|164,,,,,
41,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1101959102-decf3c9c/,664 000 ₽,2012,85 000 км,внедорожник 5 дв.,серебристый,2.0 л / 135 л.с. / Бензин,4 050 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X7L**************,******|164,5 лет и 8 месяцев,,,,
42,Renault Arkana I,https://auto.ru/cars/used/sale/renault/arkana/1102251278-754b9cf2/,1 099 000 ₽,2019,52 000 км,внедорожник 5 дв.,белый,1.6 л / 114 л.с. / Бензин,3 648 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,,,Рассмотрю варианты,,,
43,Great Wall Hover H3 I,https://auto.ru/cars/used/sale/great_wall/hoverh3/1102264535-a97eca62/,500 000 ₽,2011,91 725 км,внедорожник 5 дв.,чёрный,2.0 л / 122 л.с. / Бензин,3 660 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8P**************,,,Рассмотрю варианты,,,
44,Kia Cerato III,https://auto.ru/cars/used/sale/kia/cerato/1102264002-9ed562db/,719 000 ₽,2014,81 000 км,седан,белый,1.6 л / 130 л.с. / Бензин,3 900 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
45,Kia Sportage III,https://auto.ru/cars/used/sale/kia/sportage/1102270506-0b11f81b/,680 000 ₽,2011,196 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 500 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XWE**************,,,Рассмотрю варианты,,,
46,Renault Kaptur I,https://auto.ru/cars/used/sale/renault/kaptur/1101496121-dd44b4ab/,1 090 000 ₽,2017,67 000 км,внедорожник 5 дв.,белый,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X7L**************,******|58,2 года и 7 месяцев,,,,
47,Land Rover Discovery Sport I Рестайлинг,https://auto.ru/cars/used/sale/land_rover/discovery_sport/1102267061-fe44751b/,2 700 000 ₽,2019,31 791 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Дизель,4 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,SAL**************,,,Рассмотрю варианты,,,
48,Hyundai Solaris I,https://auto.ru/cars/used/sale/hyundai/solaris/1102272310-ff627135/,460 000 ₽,2012,101 000 км,хэтчбек 5 дв.,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Z94**************,,,,,,
49,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1102208707-f7ce2638/,165 000 ₽,2008,200 000 км,седан,фиолетовый,1.6 л / 81 л.с. / Бензин,1 134 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,******|64,1 год и 11 месяцев,,,,
50,Skoda Octavia III (A7),https://auto.ru/cars/used/sale/skoda/octavia/1102202413-e51fbd88/,680 000 ₽,2014,210 000 км,лифтбек,красный,1.6 л / 110 л.с. / Бензин,3 300 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XW8**************,******|164,1 месяц,,,,
51,Chevrolet Cruze I,https://auto.ru/cars/used/sale/chevrolet/cruze/1102267546-12ff68be/,490 002 ₽,2012,123 000 км,седан,белый,1.6 л / 109 л.с. / Бензин,3 270 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XUF**************,,,,,,
52,Hyundai Solaris I Рестайлинг,https://auto.ru/cars/used/sale/hyundai/solaris/1102267118-11f97041/,790 000 ₽,2017,25 000 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z94**************,,,,,,
53,LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1102272308-7a89072d/,730 000 ₽,2019,9 500 км,хэтчбек 5 дв.,белый,1.6 л / 106 л.с. / Бензин,3 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTA**************,,,,,,
54,ГАЗ 31105 «Волга»,https://auto.ru/cars/used/sale/gaz/31105/1102250220-8a448075/,150 000 ₽,2005,87 000 км,седан,серебристый,2.3 л / 131 л.с. / Бензин,3 930 ₽ / год,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,X96**************,,15 лет и 7 месяцев,Рассмотрю варианты,,,
55,Volkswagen Polo V Рестайлинг,https://auto.ru/cars/used/sale/volkswagen/polo/1102264269-a6f08ef0/,1 185 000 ₽,2020,3 000 км,седан,серый,1.6 л / 110 л.с. / Бензин,3 520 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
56,Volkswagen Polo V,https://auto.ru/cars/used/sale/volkswagen/polo/1102272307-0e4b029e/,690 000 ₽,2015,89 600 км,седан,бежевый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
57,LADA (ВАЗ) Priora I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2170/1102256374-fd5f3161/,409 000 ₽,2016,42 000 км,седан,белый,1.6 л / 87 л.с. / Бензин,1 218 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XTA**************,,,Рассмотрю варианты,,,
58,Lexus RX  IV 450h,https://auto.ru/cars/used/sale/lexus/rx/1101831756-81a5b7d7/,No_info,,,,,,,,,,,,,,,,,,,,
59,Skoda Rapid I,https://auto.ru/cars/used/sale/skoda/rapid/1102258784-d0d7d285/,579 000 ₽,2015,136 135 км,лифтбек,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XW8**************,,,Рассмотрю варианты,,,
60,Lifan X50,https://auto.ru/cars/used/sale/lifan/x50/1102272309-8fae19e1/,540 000 ₽,2017,108 600 км,внедорожник 5 дв.,серебристый,1.5 л / 103 л.с. / Бензин,3 090 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X9W**************,,,,,,
61,Mercedes-Benz M-Класс  III (W166) 350 CDI,https://auto.ru/cars/used/sale/mercedes/m_klasse/1102258783-a70ac835/,2 997 000 ₽,2015,78 410 км,внедорожник 5 дв.,белый,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WDC**************,,,Рассмотрю варианты,,,
62,Ford Focus III,https://auto.ru/cars/used/sale/ford/focus/1102265689-f7e7c686/,545 000 ₽,2012,97 195 км,хэтчбек 5 дв.,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X9F**************,,,Рассмотрю варианты,,,
63,Daewoo Nexia I Рестайлинг,https://auto.ru/cars/used/sale/daewoo/nexia/1102249213-e06d4d90/,79 000 ₽,2010,185 000 км,седан,белый,1.5 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,XWB**************,,,Рассмотрю варианты,,,
64,Chevrolet Niva I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/niva/1102264849-435c0cb8/,389 000 ₽,2012,106 000 км,внедорожник 5 дв.,серый,1.7 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9L**************,,8 лет и 1 месяц,,,,
65,Mitsubishi Outlander III Рестайлинг 2,https://auto.ru/cars/used/sale/mitsubishi/outlander/1102166347-24c503ca/,1 750 000 ₽,2017,24 000 км,внедорожник 5 дв.,белый,2.0 л / 146 л.с. / Бензин,4 380 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Z8T**************,,,,,,
66,Ford Focus I,https://auto.ru/cars/used/sale/ford/focus/1102263318-abf4808f/,149 000 ₽,1999,140 000 км,хэтчбек 5 дв.,синий,1.8 л / 115 л.с. / Бензин,3 450 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,WF0**************,,,Рассмотрю варианты,,,
67,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1102261775-1f9d07fa/,698 500 ₽,2018,77 735 км,седан,белый,1.6 л / 106 л.с. / Бензин,3 180 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XTA**************,,,Рассмотрю варианты,,,
68,Ford Fusion I Рестайлинг,https://auto.ru/cars/used/sale/ford/fusion/1102256876-84d78b2a/,309 000 ₽,2008,140 000 км,хэтчбек 5 дв.,серый,1.4 л / 80 л.с. / Бензин,1 120 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,WF0**************,,,Рассмотрю варианты,,,
69,Volkswagen Tiguan II,https://auto.ru/cars/used/sale/volkswagen/tiguan/1102261523-74d36fb7/,1 950 000 ₽,2017,32 201 км,внедорожник 5 дв.,белый,1.4 л / 150 л.с. / Бензин,4 500 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,Рассмотрю варианты,,,
70,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1102249326-f7078dd6/,320 000 ₽,2014,51 000 км,внедорожник 3 дв.,зелёный,1.7 л / 83 л.с. / Бензин,1 162 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTA**************,,6 лет и 1 месяц,,,,
71,Chevrolet Epica I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/epica/1102251627-6f16c942/,479 000 ₽,2011,111 000 км,седан,чёрный,2.0 л / 143 л.с. / Бензин,4 290 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,XUU**************,,,Рассмотрю варианты,,,
72,Toyota RAV4 IV (CA40) Рестайлинг,https://auto.ru/cars/used/sale/toyota/rav_4/1101818278-2027ab84/,1 950 000 ₽,2018,16 000 км,внедорожник 5 дв.,красный,2.0 л / 146 л.с. / Бензин,4 380 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW7**************,,2 года и 4 месяца,,,,
73,Renault Duster I,https://auto.ru/cars/used/sale/renault/duster/1102256906-54ea60e5/,820 001 ₽,2015,145 000 км,внедорожник 5 дв.,чёрный,1.5 л / 90 л.с. / Дизель,1 260 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X7L**************,,,,,,
74,Ford Focus II Рестайлинг,https://auto.ru/cars/used/sale/ford/focus/1102256118-76a2b45b/,485 002 ₽,2011,156 000 км,хэтчбек 5 дв.,серый,1.6 л / 100 л.с. / Бензин,1 400 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,X9F**************,,,,,,
75,Volkswagen Polo V,https://auto.ru/cars/used/sale/volkswagen/polo/1102257153-72ce4dca/,585 001 ₽,2013,117 000 км,седан,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,,,,
76,Renault Logan II Рестайлинг,https://auto.ru/cars/used/sale/renault/logan/1102258578-5f3a4987/,780 000 ₽,2019,14 000 км,седан,белый,1.6 л / 102 л.с. / Бензин,3 264 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X7L**************,,1 год и 1 месяц,,,,
77,Renault Duster I Рестайлинг,https://auto.ru/cars/used/sale/renault/duster/1102253183-855143c7/,1 175 000 ₽,2019,12 000 км,внедорожник 5 дв.,коричневый,2.0 л / 143 л.с. / Бензин,4 576 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,X7L**************,,,Рассмотрю варианты,,,
78,Chevrolet Cruze I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/cruze/1102252030-4f0afa14/,550 000 ₽,2013,89 000 км,хэтчбек 5 дв.,белый,1.6 л / 109 л.с. / Бензин,3 270 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XUF**************,,7 лет и 1 месяц,,,,
79,УАЗ Patriot I Рестайлинг,https://auto.ru/cars/used/sale/uaz/patriot/1102243952-81096a49/,320 000 ₽,2014,168 000 км,внедорожник 5 дв.,бежевый,2.7 л / 128 л.с. / Бензин,3 840 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,XTT**************,,6 лет и 1 месяц,,,,
80,Volkswagen Polo V,https://auto.ru/cars/used/sale/volkswagen/polo/1102253185-c321fa48/,610 000 ₽,2014,75 707 км,седан,белый,1.6 л / 105 л.с. / Бензин,3 150 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,XW8**************,,,Рассмотрю варианты,,,
