,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Обмен,VIN,Госномер,Владение,Гарантия,Запас хода,Кузов №
1100,BMW X6  II (F16) 30d,https://auto.ru/cars/used/sale/bmw/x6/1102261858-cab17022/,3 069 000 ₽,2014,57 902 км,внедорожник 5 дв.,белый,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,WBA**************,,,,,
1101,Peugeot 3008 I Рестайлинг,https://auto.ru/cars/used/sale/peugeot/3008/1101945692-888c8644/,1 059 000 ₽,2016,81 102 км,внедорожник 5 дв.,чёрный,1.6 л / 150 л.с. / Бензин,5 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Y3W**************,,,,,
1102,Chevrolet Orlando I,https://auto.ru/cars/used/sale/chevrolet/orlando/1102266683-667d9812/,805 000 ₽,2012,98 050 км,компактвэн,белый,1.8 л / 141 л.с. / Бензин,4 935 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,KL1**************,,,,,
1103,BMW 3 серии  VI (F3x) Рестайлинг 320i xDrive,https://auto.ru/cars/used/sale/bmw/3er/1101591296-369e9376/,1 679 000 ₽,2016,90 300 км,седан,чёрный,2.0 л / 184 л.с. / Бензин,9 200 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,X4X**************,,,До ноября 2022,,
1104,Nissan Terrano III (D10),https://auto.ru/cars/used/sale/nissan/terrano/1102137854-ad533105/,952 000 ₽,2016,75 000 км,внедорожник 5 дв.,серый,2.0 л / 143 л.с. / Бензин,5 005 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,Z8N**************,,,,,
1105,Hyundai Genesis II,https://auto.ru/cars/used/sale/hyundai/genesis/1101402250-bb0811d5/,1 679 000 ₽,2015,23 172 км,седан,белый,3.0 л / 249 л.с. / Бензин,18 675 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,KMH**************,,,,,
1106,Renault Megane IV,https://auto.ru/cars/used/sale/renault/megane/1101869912-6ab813d2/,999 000 ₽,2016,131 500 км,универсал 5 дв.,чёрный,1.5 л / 110 л.с. / Дизель,2 750 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,VF1**************,******|797,,,,
1107,SEAT Leon III,https://auto.ru/cars/used/sale/seat/leon/1102188603-49d7118c/,670 000 ₽,2013,91 804 км,хэтчбек 5 дв.,серый,1.2 л / 105 л.с. / Бензин,2 625 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,VSS**************,,,,,
1108,Kia Ceed II,https://auto.ru/cars/used/sale/kia/ceed/1102196428-1d253939/,718 000 ₽,2014,139 000 км,хэтчбек 3 дв.,белый,1.6 л / 129 л.с. / Бензин,4 515 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,XWE**************,,,,,
1109,Honda Civic VIII,https://auto.ru/cars/used/sale/honda/civic/1102175212-7812cafa/,449 000 ₽,2008,237 280 км,седан,чёрный,1.8 л / 140 л.с. / Бензин,4 900 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JHM**************,,,,,
1110,LADA (ВАЗ) 2112,https://auto.ru/cars/used/sale/vaz/2112/1102270519-781a687d/,65 000 ₽,2006,188 646 км,хэтчбек 5 дв.,серебристый,1.6 л / 90 л.с. / Бензин,1 080 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,XTA**************,,,,,
1111,Toyota Camry VI (XV40) Рестайлинг,https://auto.ru/cars/used/sale/toyota/camry/1101189449-c6bb2aaf/,799 000 ₽,2011,108 000 км,седан,серый,3.5 л / 277 л.с. / Бензин,41 550 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,XW7**************,,,,,
1112,Ford Fiesta Mk6 Рестайлинг,https://auto.ru/cars/used/sale/ford/fiesta/1102270477-4a171741/,620 000 ₽,2017,63 964 км,хэтчбек 5 дв.,белый,1.6 л / 105 л.с. / Бензин,2 625 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,Z6F**************,,,,,
1113,Kia Cerato III Рестайлинг (Classic),https://auto.ru/cars/used/sale/kia/cerato/1102241094-7adba6e6/,No_info,,,,,,,,,,,,,,,,,,,,
1114,Audi Q7 I (4L),https://auto.ru/cars/used/sale/audi/q7/1102269473-bf7cde53/,980 000 ₽,2007,257 000 км,внедорожник 5 дв.,серый,3.0 л / 233 л.с. / Дизель,17 475 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,WAU**************,,,,,
1115,LADA (ВАЗ) Vesta I SW,https://auto.ru/cars/used/sale/vaz/vesta/1102157498-cc9f2519/,695 000 ₽,2018,23 000 км,универсал 5 дв.,серебристый,1.8 л / 122 л.с. / Бензин,3 050 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|799,2 года и 1 месяц,До декабря 2021,,
1116,Volkswagen Tiguan II,https://auto.ru/cars/used/sale/volkswagen/tiguan/1101990722-e8407572/,2 190 000 ₽,2018,20 700 км,внедорожник 5 дв.,серый,2.0 л / 180 л.с. / Бензин,9 000 ₽ / год,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XW8**************,******|196,,До июня 2021,,
1117,Volkswagen Passat CC I,https://auto.ru/cars/used/sale/volkswagen/passat_cc/1102207738-51605a16/,750 000 ₽,2009,106 000 км,седан,чёрный,3.6 л / 300 л.с. / Бензин,45 000 ₽ / год,роботизированная,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WVW**************,******|797,11 месяцев,,,
1118,Chery CrossEastar (B14),https://auto.ru/cars/used/sale/chery/cross_eastar/1102270458-7be4beaf/,349 000 ₽,2013,126 000 км,компактвэн,синий,2.0 л / 136 л.с. / Бензин,4 760 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,LVV**************,,,,,
1119,BMW 2 серии Grand Tourer Gran Tourer F46 220d,https://auto.ru/cars/used/sale/bmw/2grandtourer/1102138132-ac7519e5/,1 650 000 ₽,2016,91 000 км,компактвэн,белый,2.0 л / 190 л.с. / Дизель,9 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,WBA**************,,,,,
1120,SsangYong Kyron  I Рестайлинг 5-speed,https://auto.ru/cars/used/sale/ssang_yong/kyron/1100814676-a543026c/,629 000 ₽,2010,127 455 км,внедорожник 5 дв.,чёрный,2.0 л / 141 л.с. / Дизель,4 935 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,Z8U**************,,,,,
1121,BMW X5  III (F15) 25d,https://auto.ru/cars/used/sale/bmw/x5/1102265140-448d4223/,3 299 000 ₽,2015,43 520 км,внедорожник 5 дв.,коричневый,3.0 л / 218 л.с. / Дизель,14 170 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,X4X**************,,,,,
1122,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1102255784-d702bd88/,3 098 000 ₽,2016,85 000 км,внедорожник 5 дв.,чёрный,2.8 л / 177 л.с. / Дизель,8 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JTE**************,,,До января 2023,,
1123,Audi A8 III (D4) Рестайлинг Long,https://auto.ru/cars/used/sale/audi/a8/1102259245-fc111621/,1 800 000 ₽,2013,173 000 км,седан,чёрный,3.0 л / 310 л.с. / Бензин,46 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,WAU**************,,,До января 2023,,
1124,Audi A3 III (8V) Рестайлинг,https://auto.ru/cars/used/sale/audi/a3/1102256008-04f74382/,1 619 000 ₽,2018,31 842 км,седан,серый,1.4 л / 150 л.с. / Бензин,5 250 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,WAU**************,,,,,
1125,Toyota Highlander III (U50),https://auto.ru/cars/used/sale/toyota/highlander/1102270107-b9917301/,2 690 000 ₽,2015,103 997 км,внедорожник 5 дв.,серый,3.5 л / 249 л.с. / Бензин,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,5TD**************,,,,,
1126,BMW X4  I (F26) 20i,https://auto.ru/cars/used/sale/bmw/x4/1102263840-03be63be/,2 379 000 ₽,2016,57 923 км,внедорожник 5 дв.,белый,2.0 л / 184 л.с. / Бензин,9 200 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,X4X**************,,,,,
1127,Hyundai Accent  II ТагАЗ,https://auto.ru/cars/used/sale/hyundai/accent/1101709347-c6a0d9f5/,255 000 ₽,2008,116 151 км,седан,бежевый,1.5 л / 102 л.с. / Бензин,2 550 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,X7M**************,,,,,
1128,Land Rover Range Rover Sport I,https://auto.ru/cars/used/sale/land_rover/range_rover_sport/1102259305-0602230e/,845 000 ₽,2007,139 921 км,внедорожник 5 дв.,чёрный,4.4 л / 299 л.с. / Бензин,44 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,SAL**************,,,,,
1129,Nissan Murano II (Z51) Рестайлинг 2,https://auto.ru/cars/used/sale/nissan/murano/1102259475-eda15242/,1 497 000 ₽,2015,75 432 км,внедорожник 5 дв.,белый,3.5 л / 249 л.с. / Бензин,18 675 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z8N**************,,,,,
1130,SsangYong Actyon II Рестайлинг,https://auto.ru/cars/used/sale/ssang_yong/actyon/1101964318-4e19305f/,747 000 ₽,2014,110 500 км,внедорожник 5 дв.,чёрный,2.0 л / 149 л.с. / Бензин,5 215 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,RUM**************,,,,,
1131,Nissan X-Trail II Рестайлинг,https://auto.ru/cars/used/sale/nissan/x_trail/1102245975-ad5c8ad4/,737 000 ₽,2013,58 523 км,внедорожник 5 дв.,чёрный,2.0 л / 141 л.с. / Бензин,4 935 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,Z8N**************,,,,,
1132,Land Rover Freelander II,https://auto.ru/cars/used/sale/land_rover/freelander/1102203364-1ff4663c/,710 000 ₽,2008,125 000 км,внедорожник 5 дв.,чёрный,2.2 л / 160 л.с. / Дизель,7 200 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,SAL**************,******|97,11 лет и 11 месяцев,,,
1133,Peugeot 206,https://auto.ru/cars/used/sale/peugeot/206/1102217768-34def9b3/,270 000 ₽,2002,96 036 км,хэтчбек 5 дв.,серый,1.4 л / 75 л.с. / Бензин,900 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,VF3**************,,,,,
1134,Ford Kuga II,https://auto.ru/cars/used/sale/ford/kuga/1101992407-51d6d44e/,925 000 ₽,2014,108 000 км,внедорожник 5 дв.,зелёный,2.5 л / 150 л.с. / Бензин,5 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,Z6F**************,,6 лет и 3 месяца,,,
1135,Toyota Land Cruiser 200 Series,https://auto.ru/cars/used/sale/toyota/land_cruiser/1102154740-b161f24e/,1 618 000 ₽,2008,377 486 км,внедорожник 5 дв.,чёрный,4.7 л / 288 л.с. / Бензин,43 200 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,JTM**************,,,,,
1136,Mercedes-Benz C-Класс  IV (W205) Рестайлинг 200,https://auto.ru/cars/used/sale/mercedes/c_klasse/1101808664-04353033/,2 599 000 ₽,2018,7 044 км,седан,белый,1.5 л / 184 л.с. / Бензин,9 200 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,WDD**************,,,,,
1137,Hyundai Santa Fe III Рестайлинг,https://auto.ru/cars/used/sale/hyundai/santa_fe/1102269123-7a36400a/,1 999 000 ₽,2018,18 500 км,внедорожник 5 дв.,коричневый,2.4 л / 171 л.с. / Бензин,7 695 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XWE**************,,,,,
1138,УАЗ Patriot I Рестайлинг 3,https://auto.ru/cars/used/sale/uaz/patriot/1101568113-eee46522/,705 000 ₽,2018,65 668 км,внедорожник 5 дв.,чёрный,2.7 л / 135 л.с. / Бензин,4 725 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,XTT**************,,,,,
1139,Ford Galaxy II,https://auto.ru/cars/used/sale/ford/galaxy/1102056928-94f2e5ff/,575 000 ₽,2007,274 350 км,минивэн,серый,1.8 л / 125 л.с. / Дизель,3 125 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,WF0**************,******|178,,,,
1140,Chery Kimo (A1),https://auto.ru/cars/used/sale/chery/kimo/1102017773-8372f05b/,160 000 ₽,2012,80 967 км,хэтчбек 5 дв.,серебристый,1.3 л / 83 л.с. / Бензин,996 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,LVV**************,,,,,
1141,Volkswagen Touareg I,https://auto.ru/cars/used/sale/volkswagen/touareg/1102259095-0168c99c/,520 000 ₽,2006,210 000 км,внедорожник 5 дв.,чёрный,3.2 л / 241 л.с. / Бензин,18 075 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WVG**************,,,,,
1142,Nissan Leaf I (ZE0/AZE0),https://auto.ru/cars/used/sale/nissan/leaf/1101814090-44d97ac5/,899 000 ₽,2014,80 637 км,хэтчбек 5 дв.,голубой,109 л.с. / 80 кВт / Электро,0 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1N4**************,,,,199 км,
1143,Volkswagen Caddy III Рестайлинг,https://auto.ru/cars/used/sale/volkswagen/caddy/1102012849-ca221021/,699 000 ₽,2013,112 000 км,компактвэн,белый,1.2 л / 105 л.с. / Бензин,2 625 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WV2**************,,,,,
1144,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1102255999-4d5e955c/,3 050 000 ₽,2017,103 000 км,внедорожник 5 дв.,коричневый,2.8 л / 177 л.с. / Дизель,8 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JTE**************,,,,,
1145,Lexus RX  IV 300,https://auto.ru/cars/used/sale/lexus/rx/1102255887-5556f0e4/,3 930 000 ₽,2019,25 470 км,внедорожник 5 дв.,чёрный,2.0 л / 238 л.с. / Бензин,17 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JTJ**************,,,,,
1146,Audi Q3 I (8U) Рестайлинг,https://auto.ru/cars/used/sale/audi/q3/1102269208-a02cceea/,1 827 000 ₽,2017,19 180 км,внедорожник 5 дв.,чёрный,1.4 л / 150 л.с. / Бензин,5 250 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WAU**************,,,,,
1147,Renault Symbol ll,https://auto.ru/cars/used/sale/renault/clio_symbol/1102122345-af6446f7/,550 000 ₽,2008,23 000 км,седан,чёрный,1.4 л / 98 л.с. / Бензин,1 176 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,VF1**************,******|199,,,,
1148,Volkswagen Beetle II (A5),https://auto.ru/cars/used/sale/volkswagen/beetle/1102262588-edeb4178/,889 333 ₽,2014,96 440 км,хэтчбек 3 дв.,белый,1.2 л / 105 л.с. / Бензин,2 625 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WVW**************,,,,,
1149,Suzuki SX4 I (Classic),https://auto.ru/cars/used/sale/suzuki/sx4/1102261467-1186307a/,349 000 ₽,2008,129 000 км,хэтчбек 5 дв.,серебристый,1.6 л / 106 л.с. / Бензин,2 650 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JSA**************,,,,,
1150,Chevrolet Cruze I,https://auto.ru/cars/used/sale/chevrolet/cruze/1102236777-26cdc30d/,470 000 ₽,2011,113 000 км,седан,белый,1.6 л / 109 л.с. / Бензин,2 725 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,XUF**************,,,,,
1151,Opel Zafira C,https://auto.ru/cars/used/sale/opel/zafira/1102261463-d2e63f46/,879 000 ₽,2013,142 129 км,компактвэн,коричневый,1.4 л / 140 л.с. / Бензин,4 900 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,XWF**************,,,,,
1152,Porsche Macan  I S Diesel,https://auto.ru/cars/used/sale/porsche/macan/1102258219-05011b26/,3 683 400 ₽,2017,69 722 км,внедорожник 5 дв.,синий,3.0 л / 245 л.с. / Дизель,18 375 ₽ / год,роботизированная,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WP1**************,,,,,
1153,Volkswagen Touareg II Рестайлинг,https://auto.ru/cars/used/sale/volkswagen/touareg/1102269556-1c975977/,2 440 000 ₽,2016,96 048 км,внедорожник 5 дв.,чёрный,3.6 л / 249 л.с. / Бензин,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,XW8**************,,,,,
1154,Toyota Camry V (XV30),https://auto.ru/cars/used/sale/toyota/camry/1102059594-42d0bd68/,514 000 ₽,2003,323 103 км,седан,серый,2.4 л / 159 л.с. / Бензин,7 155 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,4T1**************,,,,,
1155,Citroen C4 II,https://auto.ru/cars/used/sale/citroen/c4/1102048103-ac04e3d3/,489 000 ₽,2013,120 000 км,седан,чёрный,1.6 л / 150 л.с. / Бензин,5 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,Z8T**************,,,,,
1156,Toyota Land Cruiser Prado Arctic Trucks 150 Series Рестайлинг 2 Arctic Trucks AT38,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1102256255-fc15e21c/,4 095 000 ₽,2019,16 805 км,внедорожник 5 дв.,чёрный,2.8 л / 177 л.с. / Дизель,8 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JTE**************,,,До декабря 2022,,
1157,Mercedes-Benz M-Класс  II (W164) Рестайлинг 350,https://auto.ru/cars/used/sale/mercedes/m_klasse/1101740565-8d21ef9a/,979 000 ₽,2009,141 000 км,внедорожник 5 дв.,белый,3.5 л / 272 л.с. / Бензин,40 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,WDC**************,,,,,
1158,BMW 5 серии  V (E60/E61) Рестайлинг 530xi,https://auto.ru/cars/used/sale/bmw/5er/1102164289-076cb382/,699 000 ₽,2007,250 114 км,седан,чёрный,3.0 л / 272 л.с. / Бензин,40 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,X4X**************,,,,,
1159,Hyundai Solaris I,https://auto.ru/cars/used/sale/hyundai/solaris/1100135322-727bcbbe/,440 000 ₽,2014,87 000 км,хэтчбек 5 дв.,чёрный,1.6 л / 123 л.с. / Бензин,3 075 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z94**************,,,,,
1160,Ford Focus III Рестайлинг,https://auto.ru/cars/used/sale/ford/focus/1102225237-283bb9b8/,No_info,,,,,,,,,,,,,,,,,,,,
1161,BMW 3 серии  V (E90/E91/E92/E93) Рестайлинг 318i,https://auto.ru/cars/used/sale/bmw/3er/1102264802-c19cd623/,1 099 000 ₽,2011,39 000 км,седан,красный,2.0 л / 136 л.с. / Бензин,4 760 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,WBA**************,,,,,
1162,Toyota Camry VII (XV50),https://auto.ru/cars/used/sale/toyota/camry/1102270070-6f23d437/,1 055 000 ₽,2011,194 156 км,седан,чёрный,2.5 л / 181 л.с. / Бензин,9 050 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,JTN**************,,,,,
1163,Ford Focus II Рестайлинг,https://auto.ru/cars/used/sale/ford/focus/1102271094-5fde7b76/,375 000 ₽,2008,187 000 км,седан,серый,2.0 л / 145 л.с. / Бензин,5 075 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X9F**************,******|62,,,,
1164,Opel Insignia I,https://auto.ru/cars/used/sale/opel/insignia/1102267720-ce11387c/,650 000 ₽,2012,169 000 км,лифтбек,чёрный,1.6 л / 180 л.с. / Бензин,9 000 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XWF**************,,8 лет и 7 месяцев,,,
1165,Chevrolet Lacetti,https://auto.ru/cars/used/sale/chevrolet/lacetti/1101910517-58a42f89/,304 000 ₽,2007,157 066 км,седан,серебристый,1.6 л / 109 л.с. / Бензин,2 725 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,KL1**************,,,,,
1166,Honda Jazz I Рестайлинг,https://auto.ru/cars/used/sale/honda/jazz/1101731928-35e8ee6e/,399 000 ₽,2008,109 600 км,хэтчбек 5 дв.,жёлтый,1.3 л / 83 л.с. / Бензин,830 ₽ / год,вариатор,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,LUC**************,,,,,
1167,Nissan Qashqai I,https://auto.ru/cars/used/sale/nissan/qashqai/1102218559-a1ce1568/,550 000 ₽,2007,185 000 км,внедорожник 5 дв.,чёрный,2.0 л / 141 л.с. / Бензин,4 935 ₽ / год,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,SJN**************,******|150,,,,
1168,Peugeot 508 II,https://auto.ru/cars/used/sale/peugeot/508/1101868935-b324b4fc/,3 000 000 ₽,2019,4 000 км,лифтбек,белый,1.6 л / 180 л.с. / Бензин,9 000 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,VR3**************,******|799,,,,
1169,Renault Logan II Рестайлинг Stepway,https://auto.ru/cars/used/sale/renault/logan/1101912366-fad5ed98/,895 000 ₽,2019,1 361 км,седан,синий,1.6 л / 113 л.с. / Бензин,2 825 ₽ / год,вариатор,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,X7L**************,,,До января 2022,,
1170,Peugeot 3008 I,https://auto.ru/cars/used/sale/peugeot/3008/1101759826-84496f7b/,559 000 ₽,2012,112 000 км,внедорожник 5 дв.,белый,1.6 л / 150 л.с. / Бензин,5 250 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,Рассмотрю варианты,VF3**************,,,,,
1171,"Mercedes-Benz E-Класс  V (W213, S213, C238) 200",https://auto.ru/cars/used/sale/mercedes/e_klasse/1102188152-99be7bca/,2 745 000 ₽,2017,59 700 км,седан,чёрный,2.0 л / 184 л.с. / Бензин,9 200 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,WDD**************,******|777,,До июля 2021,,
1172,Renault Duster I Рестайлинг,https://auto.ru/cars/used/sale/renault/duster/1101916319-726add95/,995 000 ₽,2018,51 380 км,внедорожник 5 дв.,зелёный,1.5 л / 109 л.с. / Дизель,2 725 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,X7L**************,,,,,
1173,Opel Zafira B Рестайлинг,https://auto.ru/cars/used/sale/opel/zafira/1102223566-11c32b85/,519 000 ₽,2011,104 000 км,компактвэн,чёрный,1.8 л / 140 л.с. / Бензин,4 900 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,W0L**************,,,,,
1174,Hyundai Solaris I,https://auto.ru/cars/used/sale/hyundai/solaris/1101617202-1172ba41/,469 000 ₽,2012,142 000 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,3 075 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,Z94**************,,,,,
1175,SsangYong Kyron  I Рестайлинг 6-speed,https://auto.ru/cars/used/sale/ssang_yong/kyron/1102074915-ad8448f9/,529 000 ₽,2011,102 000 км,внедорожник 5 дв.,серый,2.3 л / 150 л.с. / Бензин,5 250 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,Z8U**************,,,,,
1176,MINI Clubman  II Cooper,https://auto.ru/cars/used/sale/mini/clubman/1101595709-1e18377c/,1 399 000 ₽,2017,41 340 км,универсал 5 дв.,пурпурный,1.5 л / 136 л.с. / Бензин,4 760 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WMW**************,,,До ноября 2022,,
1177,Ford Focus II Рестайлинг,https://auto.ru/cars/used/sale/ford/focus/1101909021-1270c9d7/,379 000 ₽,2010,137 000 км,хэтчбек 5 дв.,чёрный,1.8 л / 125 л.с. / Бензин,3 125 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,Рассмотрю варианты,X9F**************,,,,,
1178,MINI Clubman  II Cooper,https://auto.ru/cars/used/sale/mini/clubman/1101595709-1e18377c/,1 399 000 ₽,2017,41 340 км,универсал 5 дв.,пурпурный,1.5 л / 136 л.с. / Бензин,4 760 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,Рассмотрю варианты,WMW**************,,,До ноября 2022,,
